company_id,fiscal_year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,equity_ratio
SHREECEM,2020,36.0,13133,3146,3629,19944,6163,1197,6358,6227,19944,87.38888888888889,0.66029883674288
SHREECEM,2021,36.0,15361,2230,3886,21513,6216,997,8500,5800,21513,61.94444444444444,0.7157067819458002
SHREECEM,2022,36.0,17424,2129,4159,23749,7282,1054,9033,6380,23749,59.138888888888886,0.7351888500568445
SHREECEM,2023,36.0,18600,2725,4973,26334,7481,2797,8683,7373,26334,75.69444444444444,0.707678286625655
SHREECEM,2024,36.0,20667,1656,5566,27925,9591,1930,7556,8848,27925,46.0,0.7413786929274844
SHREECEM,2024,36.0,20843,1682,5297,27859,9656,2777,6943,8482,27859,46.72222222222222,0.7494526005958577
ZOMATO,2018,0.0,1036,186,152,1374,190,1,829,354,1374,inf,0.7540029112081513
ZOMATO,2019,0.0,2356,348,709,3413,389,1,2145,879,3413,inf,0.6903017872839144
ZOMATO,2020,0.0,457,326,2117,2900,1591,1,324,985,2900,inf,0.15758620689655173
ZOMATO,2021,0.0,7644,527,532,8704,1539,0,2205,4959,8704,inf,0.8782169117647058
ZOMATO,2022,764.0,15741,70,751,17327,1404,1,4718,11204,17327,0.09162303664921466,0.9525595890806257
ZOMATO,2023,836.0,18624,507,1632,21599,6344,7,6765,8483,21599,0.6064593301435407,0.9009676373906199
ZOMATO,2024,868.0,19545,749,2194,23356,6448,18,11645,5245,23356,0.8629032258064516,0.8739938345607124
ZOMATO,2024,872.0,20446,1159,2728,25205,8390,59,11708,5048,25205,1.3291284403669725,0.8457845665542552
WIPRO,2013,492.0,26072,6381,10675,43621,9996,407,6765,26454,43621,12.96951219512195,0.6089727424864171
WIPRO,2014,493.0,31636,5159,12245,49533,10649,369,6146,32368,49533,10.464503042596348,0.648638281549674
WIPRO,2015,494.0,36598,7891,13367,58350,10837,395,5532,41586,58350,15.973684210526315,0.635681233933162
WIPRO,2016,494.0,45651,12522,12924,71590,17279,381,20915,33016,71590,25.34817813765182,0.6445732644224054
WIPRO,2017,486.0,51184,14241,12761,78672,19886,738,29913,28135,78672,29.30246913580247,0.6567775066097213
WIPRO,2018,905.0,47022,13901,13563,75391,18127,1378,25797,30090,75391,15.360220994475139,0.6357124855752013
WIPRO,2019,1207.0,55216,9947,16217,82586,17465,2142,22887,40093,82586,8.24109362054681,0.6832029641827913
WIPRO,2020,1143.0,54179,9724,15954,81000,22062,1881,20032,37024,81000,8.507436570428696,0.6829876543209876
WIPRO,2021,1096.0,53805,10451,17213,82566,23040,1853,18775,38898,82566,9.53558394160584,0.6649347188915534
WIPRO,2022,1096.0,64307,17593,24280,107276,37990,1602,26154,41531,107276,16.052007299270073,0.6096703829374697
WIPRO,2023,1098.0,76570,17467,21789,116924,44757,617,33073,38477,116924,15.908014571948998,0.6642605453114844
WIPRO,2024,1045.0,73488,16465,23611,114609,43628,723,33384,36873,114609,15.75598086124402,0.6503241455732098
WIPRO,2024,1046.0,80330,19282,24893,125552,43476,846,43970,37260,125552,18.434034416826005,0.6481457881993118
VEDL,2013,87.0,17388,4839,723,23037,4136,723,16059,2119,23037,55.62068965517241,0.7585623128011459
VEDL,2014,296.0,72712,80566,60545,214120,87205,43128,37910,45877,214120,272.18243243243245,0.34096768167382774
VEDL,2015,296.0,53579,77752,58654,190281,70108,38748,39606,41819,190281,262.6756756756757,0.2831338914552688
VEDL,2016,296.0,43743,67778,80163,191980,67231,38461,53386,32903,191980,228.97972972972974,0.2293936868423794
VEDL,2017,297.0,60128,71569,64952,196946,76756,27557,46962,45671,196946,240.97306397306397,0.3068099885247733
VEDL,2018,372.0,62940,58159,58896,180367,80279,32055,28700,39333,180367,156.34139784946237,0.3510176473523427
VEDL,2019,372.0,61925,66226,70045,198568,96397,24959,33065,44147,198568,178.0268817204301,0.313731316224165
VEDL,2020,372.0,54263,59187,66915,180737,88904,18585,24753,48495,180737,159.1048387096774,0.30229006788870016
VEDL,2021,372.0,61906,57669,63549,183496,90470,16314,16660,60052,183496,155.0241935483871,0.3393970440772551
VEDL,2022,372.0,65011,53583,74981,193947,93466,15879,17291,67311,193947,144.04032258064515,0.3371178724084415
VEDL,2023,372.0,39051,80329,69703,189455,95744,19529,13150,61032,189455,215.93817204301075,0.20808635295980576
VEDL,2024,372.0,30350,87706,69690,188118,98963,22889,11869,54397,188118,235.7688172043011,0.16331238903241582
VEDL,2024,391.0,37097,79808,87879,205175,100699,27719,12823,63934,205175,204.11253196930946,0.18271231875228464
SHRIRAMFIN,2013,227.0,7111,33386,6550,47274,72,0,3280,43922,47274,147.07488986784142,0.15522274400304606
SHRIRAMFIN,2014,227.0,8283,38630,5192,52332,155,0,2435,49742,52332,170.1762114537445,0.1626156080409692
SHRIRAMFIN,2015,227.0,9039,46695,6193,62154,154,0,3037,58962,62154,205.70484581497797,0.149081314155163
SHRIRAMFIN,2016,227.0,9949,49790,8048,68013,152,0,1340,66522,68013,219.33920704845815,0.1496184552953112
SHRIRAMFIN,2017,227.0,11105,53080,10034,74446,136,0,1518,72791,74446,233.83259911894274,0.1522177148537195
SHRIRAMFIN,2018,227.0,13463,82131,1539,97360,122,0,2456,94782,97360,361.8105726872247,0.14061216105176663
SHRIRAMFIN,2019,227.0,15736,87914,1542,105419,147,0,4126,101146,105419,387.2863436123348,0.15142431629971825
SHRIRAMFIN,2020,227.0,17915,94735,1389,114266,489,0,2936,110841,114266,417.3348017621145,0.15876988780564646
SHRIRAMFIN,2021,253.0,21464,106546,1647,129910,437,0,3347,126126,129910,421.1304347826087,0.16716957893926565
SHRIRAMFIN,2022,271.0,25824,114846,1328,142268,418,0,6971,134879,142268,423.7859778597786,0.18342142997722607
SHRIRAMFIN,2023,374.0,43138,164202,2858,210573,3714,66,7430,199363,210573,439.0427807486631,0.2066361784274337
SHRIRAMFIN,2024,376.0,48571,195496,3823,248266,3718,0,9472,235076,248266,519.936170212766,0.19715547034229416
SHRIRAMFIN,2024,376.0,52016,207820,14875,275087,3215,0,11616,260256,275087,552.7127659574468,0.19045611024875767
SIEMENS,2011,68.0,3748,0,6341,10158,1169,249,0,8739,10158,0.0,0.3756645008860012
SIEMENS,2014,71.0,4304,0,5915,10290,1356,41,8,8886,10290,0.0,0.42517006802721086
SIEMENS,2015,71.0,5046,25,5433,10576,1394,32,114,9037,10576,0.352112676056338,0.48383131618759456
SIEMENS,2016,71.0,6732,25,5157,11986,1227,79,110,10570,11986,0.352112676056338,0.5675788419823127
SIEMENS,2017,71.0,7619,0,5448,13138,1365,143,0,11630,13138,0.0,0.5853250114172629
SIEMENS,2018,71.0,8228,0,6037,14336,1381,62,0,12893,14336,0.0,0.5788922991071429
SIEMENS,2019,71.0,8978,0,6309,15358,1219,58,0,14081,15358,0.0,0.5892043234796197
SIEMENS,2020,71.0,9421,0,6368,15860,1196,88,0,14576,15860,0.0,0.5984867591424968
SIEMENS,2021,71.0,10276,4,7664,18015,3264,35,3,14713,18015,0.056338028169014086,0.5743547044129892
SIEMENS,2022,71.0,11539,182,8317,20109,3107,52,1,16949,20109,2.563380281690141,0.5773534238400716
SIEMENS,2023,71.0,13016,175,8384,21646,3038,50,1,18556,21646,2.464788732394366,0.6045920724383258
SIEMENS,2024,71.0,15286,279,9663,25299,3112,103,1,22082,25299,3.9295774647887325,0.6070200403177991
UNITDSPR,2013,126.0,4661,8242,3453,16483,7869,131,218,8265,16483,65.41269841269842,0.29042043317357275
UNITDSPR,2014,145.0,2887,8307,3518,14858,5700,110,238,8810,14858,57.289655172413795,0.20406515008749496
UNITDSPR,2015,145.0,514,4987,2242,7889,1921,114,216,5637,7889,34.39310344827586,0.08353403473190518
UNITDSPR,2016,145.0,1489,4242,2452,8329,1887,282,77,6084,8329,29.255172413793105,0.19618201464761675
UNITDSPR,2017,145.0,1640,4144,2967,8896,1917,199,0,6780,8896,28.579310344827586,0.20065197841726617
UNITDSPR,2018,145.0,2274,3421,3086,8926,1791,102,0,7033,8926,23.593103448275862,0.2710060497423258
UNITDSPR,2019,145.0,2945,2883,3135,9109,1841,118,25,7124,9109,19.882758620689657,0.33922494236469425
UNITDSPR,2020,145.0,3583,2570,2546,8844,1956,121,22,6745,8844,17.724137931034484,0.42152872003618275
UNITDSPR,2021,145.0,3974,1037,3354,8511,1893,97,0,6521,8511,7.151724137931034,0.48396193161790624
UNITDSPR,2022,145.0,4808,605,3304,8863,1855,96,222,6690,8863,4.172413793103448,0.5588401218549024
UNITDSPR,2023,145.0,5854,183,3534,9716,1534,83,286,7813,9716,1.2620689655172415,0.6174351585014409
UNITDSPR,2024,145.0,6976,265,3790,11176,1560,37,645,8934,11176,1.8275862068965518,0.6371689334287759
UNITDSPR,2024,145.0,7487,518,3805,11955,1798,66,819,9272,11955,3.5724137931034483,0.6383939774153075
UNIONBANK,2013,597.0,16722,287589,8003,312912,2483,13,81808,228608,312912,481.72361809045225,0.05534782942169044
UNIONBANK,2014,630.0,18004,327078,9300,355013,2621,2,94636,257753,355013,519.1714285714286,0.05248821874128553
UNIONBANK,2015,636.0,19263,352618,11048,383566,2690,4,85818,295053,383566,554.430817610063,0.05187894651767883
UNIONBANK,2016,687.0,22361,374754,9562,407365,3939,13,90573,312840,407365,545.4934497816594,0.05657825291814466
UNIONBANK,2017,687.0,23406,418420,13167,455681,3896,21,113441,338322,455681,609.0538573508006,0.05287251388581047
UNIONBANK,2018,1169.0,24083,455969,9900,491120,3824,34,125485,361777,491120,390.0504704875962,0.051417168920019546
UNIONBANK,2019,1763.0,25073,460780,10964,498581,3743,44,128391,366402,498581,261.3613159387408,0.05382475465370722
UNIONBANK,2020,3423.0,30567,505150,16369,555509,4734,54,154251,396470,555509,147.57522640958223,0.06118712748128293
UNIONBANK,2021,6407.0,58331,977576,40063,1082377,7303,63,339059,735952,1082377,152.5793663180896,0.05981095311522695
UNIONBANK,2022,6835.0,64026,1085613,37292,1193766,7171,37,351839,834718,1193766,158.83145574250182,0.05935920440019233
UNIONBANK,2023,6835.0,71969,1163059,46495,1288357,8826,22,343727,935782,1288357,170.16225310899782,0.061166276117566795
UNIONBANK,2024,7634.0,89964,1251568,52831,1401996,9224,36,343953,1048783,1401996,163.94655488603615,0.06961360802741234
SUNPHARMA,2013,104.0,14886,260,5128,20377,5647,563,2412,11756,20377,2.5,0.7356333120675271
SUNPHARMA,2014,207.0,18318,2561,8009,29095,6817,842,2786,18650,29095,12.371980676328503,0.6367073380305894
SUNPHARMA,2015,207.0,25431,8996,14089,48723,12682,2039,2716,31286,48723,43.45893719806763,0.5261991256696016
SUNPHARMA,2016,241.0,32742,8497,13948,55428,15872,2175,1830,35550,55428,35.25726141078838,0.5950602583531789
SUNPHARMA,2017,240.0,36400,9832,14624,61095,17675,2801,1192,39427,61095,40.96666666666667,0.5997217448236353
SUNPHARMA,2018,240.0,38074,10385,15598,64297,18853,2465,7143,35837,64297,43.270833333333336,0.5958909435899031
SUNPHARMA,2019,240.0,41169,10514,12666,64590,21837,1411,7903,33439,64590,43.80833333333333,0.641105434277752
SUNPHARMA,2020,240.0,45025,8315,14615,68194,22847,1220,10143,33984,68194,34.645833333333336,0.6637680734375458
SUNPHARMA,2021,240.0,46223,3869,17291,67622,21553,1567,9612,34890,67622,16.120833333333334,0.6870988731477922
SUNPHARMA,2022,240.0,47771,1290,20474,69776,22665,1287,12849,32975,69776,5.375,0.6880732630130704
SUNPHARMA,2023,240.0,55755,6886,17831,80712,24065,4973,14824,36849,80712,28.691666666666666,0.6937630092179602
SUNPHARMA,2024,240.0,63427,3274,18367,85308,23211,5354,15026,41717,85308,13.641666666666667,0.7463192197683687
SUNPHARMA,2024,240.0,68875,2572,16429,88116,28318,1150,17744,40904,88116,10.716666666666667,0.784363793181715
ULTRACEMCO,2013,274.0,14955,7342,7010,29582,15050,3601,4709,6222,29582,26.795620437956206,0.514806301129065
ULTRACEMCO,2014,274.0,16908,7332,7671,32185,18100,2186,4862,7037,32185,26.759124087591243,0.5338511729066335
ULTRACEMCO,2015,274.0,18767,9829,9183,38053,23343,2250,4500,7961,38053,35.872262773722625,0.5003810474864006
ULTRACEMCO,2016,274.0,21671,10616,8631,41193,25309,1469,5095,9319,41193,38.74452554744526,0.5327361444905688
ULTRACEMCO,2017,275.0,24117,8474,9343,42209,25904,921,6691,8693,42209,30.814545454545456,0.5778862327939539
ULTRACEMCO,2018,275.0,26107,19480,11280,57141,39715,1511,5447,10468,57141,70.83636363636364,0.46170000525017063
ULTRACEMCO,2019,275.0,33476,25337,17438,76525,56645,1153,2921,15806,76525,92.13454545454546,0.4410454099967331
ULTRACEMCO,2020,289.0,38755,23019,17151,79214,57151,920,5929,15215,79214,79.65051903114187,0.4928926704875401
ULTRACEMCO,2021,289.0,43886,21719,20282,86176,55412,1687,12178,16900,86176,75.1522491349481,0.5126137207575195
ULTRACEMCO,2022,289.0,50147,11299,22077,83811,55488,4785,6336,17203,83811,39.09688581314879,0.6017825822386083
ULTRACEMCO,2023,289.0,54036,11058,25998,91380,59579,4040,7297,20464,91380,38.26297577854671,0.5944955132414095
ULTRACEMCO,2024,289.0,59939,11403,29167,100797,62878,6811,8249,22859,100797,39.45674740484429,0.5975177832673592
ULTRACEMCO,2024,289.0,61076,16964,29282,107611,68042,6410,7579,25579,107611,58.69896193771626,0.5702483946808412
TVSMOTOR,2013,48.0,851,1068,1415,3381,1593,36,348,1404,3381,22.25,0.2658976634131914
TVSMOTOR,2014,48.0,1113,728,1743,3632,1517,48,439,1628,3632,15.166666666666666,0.31965859030837
TVSMOTOR,2015,48.0,1277,1119,2126,4570,1637,93,539,2301,4570,23.3125,0.2899343544857768
TVSMOTOR,2016,48.0,1771,1091,2236,5146,2038,47,943,2118,5146,22.729166666666668,0.353478429848426
TVSMOTOR,2017,48.0,2169,1311,2601,6128,2362,64,1155,2547,6128,27.3125,0.36178198433420367
TVSMOTOR,2018,48.0,2630,6928,3586,13190,3094,313,421,9362,13190,144.33333333333334,0.20303260045489008
TVSMOTOR,2019,48.0,3123,9298,4228,16696,3367,745,440,12145,16696,193.70833333333334,0.18992573071394345
TVSMOTOR,2020,48.0,3235,11591,4399,19272,3811,1006,371,14085,19272,241.47916666666666,0.17035076795350768
TVSMOTOR,2021,48.0,3779,12179,5859,21865,4221,1041,468,16135,21865,253.72916666666666,0.1750285844957695
TVSMOTOR,2022,48.0,4352,15827,6692,26919,5975,552,605,19788,26919,329.7291666666667,0.16345332293175824
TVSMOTOR,2023,48.0,5457,22376,7144,35025,5748,743,967,27566,35025,466.1666666666667,0.15717344753747323
TVSMOTOR,2024,48.0,6736,26006,9235,42024,5891,1033,1123,33977,42024,541.7916666666666,0.1614315629164287
TVSMOTOR,2024,48.0,7712,14619,22568,44946,6851,417,1166,36512,44946,304.5625,0.17265162639611978
TRENT,2013,33.0,1198,343,635,2209,843,106,317,943,2209,10.393939393939394,0.5572657311000453
TRENT,2014,33.0,958,332,614,1936,720,138,300,778,1936,10.06060606060606,0.5118801652892562
TRENT,2015,33.0,1389,267,518,2207,668,92,740,706,2207,8.090909090909092,0.6443135478024468
TRENT,2016,33.0,1431,400,292,2157,477,55,1067,558,2157,12.121212121212121,0.6787204450625869
TRENT,2017,33.0,1514,392,283,2222,549,5,1080,588,2222,11.878787878787879,0.6962196219621962
TRENT,2018,33.0,1562,391,349,2336,613,10,1023,691,2336,11.848484848484848,0.682791095890411
TRENT,2019,33.0,1613,494,418,2559,662,87,883,927,2559,14.969696969696969,0.643220007815553
TRENT,2020,36.0,2352,300,2819,5507,2738,23,1515,1230,5507,8.333333333333334,0.4336299255493009
TRENT,2021,36.0,2277,300,3111,5724,3054,108,1487,1075,5724,8.333333333333334,0.40408805031446543
TRENT,2022,36.0,2328,4725,637,7726,4687,105,1284,1651,7726,131.25,0.305979808439037
TRENT,2023,36.0,2560,4464,1022,8082,4527,102,1110,2343,8082,124.0,0.32120762187577334
TRENT,2024,36.0,4032,1753,1341,7162,2450,224,1416,3072,7162,48.69444444444444,0.5679977659871545
TRENT,2024,36.0,4644,1842,1752,8274,2804,219,1517,3735,8274,51.166666666666664,0.5656272661348803
TORNTPHARM,2013,42.0,1380,693,1638,3753,820,285,60,2587,3753,16.5,0.37889688249400477
TORNTPHARM,2014,85.0,1818,1132,1988,5022,875,534,186,3427,5022,13.31764705882353,0.3789326961369972
TORNTPHARM,2015,85.0,2406,2740,2589,7820,2833,678,298,4011,7820,32.23529411764706,0.31854219948849105
TORNTPHARM,2016,85.0,3409,2352,3040,8886,2859,1042,780,4206,8886,27.67058823529412,0.3932027909070448
TORNTPHARM,2017,85.0,4266,2510,2740,9601,3688,519,804,4589,9601,29.529411764705884,0.45318196021247786
